"Category","All India"
"07-01-2023 : 82",175419
"07-01-2023 : 83",174549
"07-01-2023 : 84",174033
"07-01-2023 : 85",172374
"07-01-2023 : 86",171626
"07-01-2023 : 87",169702
"07-01-2023 : 88",167026
"07-01-2023 : 89",164282
"07-01-2023 : 90",163587
"07-01-2023 : 91",161853
"07-01-2023 : 92",159474
"07-01-2023 : 93",157075
"07-01-2023 : 94",154518
"07-01-2023 : 95",152595
"07-01-2023 : 96",150215
"08-01-2023 : 1",149037
"08-01-2023 : 2",147246
"08-01-2023 : 3",146458
"08-01-2023 : 4",144723
"08-01-2023 : 5",142872
"08-01-2023 : 6",141838
"08-01-2023 : 7",141246
"08-01-2023 : 8",140902
"08-01-2023 : 9",140202
"08-01-2023 : 10",139589
"08-01-2023 : 11",138781
"08-01-2023 : 12",138634
"08-01-2023 : 13",137590
"08-01-2023 : 14",137410
"08-01-2023 : 15",137918
"08-01-2023 : 16",138252
"08-01-2023 : 17",138757
"08-01-2023 : 18",139917
"08-01-2023 : 19",141640
"08-01-2023 : 20",143299
"08-01-2023 : 21",145590
"08-01-2023 : 22",148296
"08-01-2023 : 23",150569
"08-01-2023 : 24",153801
"08-01-2023 : 25",156540
"08-01-2023 : 26",157546
"08-01-2023 : 27",161901
"08-01-2023 : 28",165376
"08-01-2023 : 29",169052
"08-01-2023 : 30",171139
"08-01-2023 : 31",175554
"08-01-2023 : 32",179725
"08-01-2023 : 33",181798
"08-01-2023 : 34",184906
"08-01-2023 : 35",187886
"08-01-2023 : 36",191312
"08-01-2023 : 37",192560
"08-01-2023 : 38",194912
"08-01-2023 : 39",197045
"08-01-2023 : 40",198351
"08-01-2023 : 41",199942
"08-01-2023 : 42",200606
"08-01-2023 : 43",200969
"08-01-2023 : 44",201321
"08-01-2023 : 45",201191
"08-01-2023 : 46",201012
"08-01-2023 : 47",200665
"08-01-2023 : 48",200349
"08-01-2023 : 49",200313
"08-01-2023 : 50",198311
"08-01-2023 : 51",198656
"08-01-2023 : 52",197126
"08-01-2023 : 53",195892
"08-01-2023 : 54",193078
"08-01-2023 : 55",191918
"08-01-2023 : 56",191007
"08-01-2023 : 57",188987
"08-01-2023 : 58",187599
"08-01-2023 : 59",187001
"08-01-2023 : 60",186280
"08-01-2023 : 61",185523
"08-01-2023 : 62",184046
"08-01-2023 : 63",183699
"08-01-2023 : 64",182039
"08-01-2023 : 65",181692
"08-01-2023 : 66",179357
"08-01-2023 : 67",179717
"08-01-2023 : 68",179599
"08-01-2023 : 69",178843
"08-01-2023 : 70",175289
"08-01-2023 : 71",175799
"08-01-2023 : 72",176335
"08-01-2023 : 73",177391
"08-01-2023 : 74",176847
"08-01-2023 : 75",178868
"08-01-2023 : 76",178055
"08-01-2023 : 77",177553
"08-01-2023 : 78",176187
"08-01-2023 : 79",174709
"08-01-2023 : 80",172747
"08-01-2023 : 81",170448
"08-01-2023 : 82",168804
"08-01-2023 : 83",167226
"08-01-2023 : 84",165602
"08-01-2023 : 85",163113
"08-01-2023 : 86",162704
"08-01-2023 : 87",160698
"08-01-2023 : 88",158774
"08-01-2023 : 89",155865
"08-01-2023 : 90",155860
"08-01-2023 : 91",154186
"08-01-2023 : 92",151707
"08-01-2023 : 93",149686
"08-01-2023 : 94",148150
"08-01-2023 : 95",146720
"08-01-2023 : 96",144769
"09-01-2023 : 1",142806
"09-01-2023 : 2",141376
"09-01-2023 : 3",140142
"09-01-2023 : 4",139224
"09-01-2023 : 5",138048
"09-01-2023 : 6",136425
"09-01-2023 : 7",136167
"09-01-2023 : 8",135514
"09-01-2023 : 9",134624
"09-01-2023 : 10",134071
"09-01-2023 : 11",133908
"09-01-2023 : 12",133206
"09-01-2023 : 13",132827
"09-01-2023 : 14",132889
"09-01-2023 : 15",133407
"09-01-2023 : 16",133642
"09-01-2023 : 17",134087
"09-01-2023 : 18",135619
"09-01-2023 : 19",137108
"09-01-2023 : 20",139176
"09-01-2023 : 21",142022
"09-01-2023 : 22",144916
"09-01-2023 : 23",149327
"09-01-2023 : 24",153750
"09-01-2023 : 25",156954
"09-01-2023 : 26",159863
"09-01-2023 : 27",165456
"09-01-2023 : 28",169606
"09-01-2023 : 29",174827
"09-01-2023 : 30",178441
"09-01-2023 : 31",183663
"09-01-2023 : 32",187476
"09-01-2023 : 33",188877
"09-01-2023 : 34",190942
"09-01-2023 : 35",193066
"09-01-2023 : 36",194041
"09-01-2023 : 37",194057
"09-01-2023 : 38",199614
"09-01-2023 : 39",202006
"09-01-2023 : 40",202801
"09-01-2023 : 41",203601
"09-01-2023 : 42",204231
"09-01-2023 : 43",204280
"09-01-2023 : 44",205124
"09-01-2023 : 45",203527
"09-01-2023 : 46",203437
"09-01-2023 : 47",203560
"09-01-2023 : 48",201856
"09-01-2023 : 49",201477
"09-01-2023 : 50",200904
"09-01-2023 : 51",200375
"09-01-2023 : 52",199901
"09-01-2023 : 53",198995
"09-01-2023 : 54",196266
"09-01-2023 : 55",194294
"09-01-2023 : 56",193934
"09-01-2023 : 57",192480
"09-01-2023 : 58",191434
"09-01-2023 : 59",189777
"09-01-2023 : 60",190409
"09-01-2023 : 61",191374
"09-01-2023 : 62",191320
"09-01-2023 : 63",190103
"09-01-2023 : 64",189100
"09-01-2023 : 65",188624
"09-01-2023 : 66",188076
"09-01-2023 : 67",188915
"09-01-2023 : 68",187334
"09-01-2023 : 69",186925
"09-01-2023 : 70",185501
"09-01-2023 : 71",186073
"09-01-2023 : 72",186354
"09-01-2023 : 73",186848
"09-01-2023 : 74",185504
"09-01-2023 : 75",186104
"09-01-2023 : 76",186084
"09-01-2023 : 77",184517
"09-01-2023 : 78",182630
"09-01-2023 : 79",180692
"09-01-2023 : 80",178583
"09-01-2023 : 81",176682
"09-01-2023 : 82",174872
"09-01-2023 : 83",173140
"09-01-2023 : 84",171412
"09-01-2023 : 85",169884
"09-01-2023 : 86",169355
"09-01-2023 : 87",166308
"09-01-2023 : 88",164935
"09-01-2023 : 89",163024
"09-01-2023 : 90",162532
"09-01-2023 : 91",160654
"09-01-2023 : 92",158518
"09-01-2023 : 93",156802
"09-01-2023 : 94",154084
"09-01-2023 : 95",152504
"09-01-2023 : 96",151343
"10-01-2023 : 1",149776
"10-01-2023 : 2",148299
"10-01-2023 : 3",147142
"10-01-2023 : 4",146035
"10-01-2023 : 5",144534
"10-01-2023 : 6",143550
"10-01-2023 : 7",142361
"10-01-2023 : 8",141766
"10-01-2023 : 9",140548
"10-01-2023 : 10",140009
"10-01-2023 : 11",139490
"10-01-2023 : 12",138858
"10-01-2023 : 13",139038
"10-01-2023 : 14",138538
"10-01-2023 : 15",138251
"10-01-2023 : 16",138447
"10-01-2023 : 17",139111
"10-01-2023 : 18",140561
"10-01-2023 : 19",142460
"10-01-2023 : 20",144217
"10-01-2023 : 21",147106
"10-01-2023 : 22",149855
"10-01-2023 : 23",153211
"10-01-2023 : 24",157091
"10-01-2023 : 25",160291
"10-01-2023 : 26",162546
"10-01-2023 : 27",166717
"10-01-2023 : 28",170610
"10-01-2023 : 29",176166
"10-01-2023 : 30",180527
"10-01-2023 : 31",185200
"10-01-2023 : 32",188137
"10-01-2023 : 33",189886
"10-01-2023 : 34",192416
"10-01-2023 : 35",193388
"10-01-2023 : 36",195863
"10-01-2023 : 37",195963
"10-01-2023 : 38",200721
"10-01-2023 : 39",201582
"10-01-2023 : 40",202865
"10-01-2023 : 41",203794
"10-01-2023 : 42",204782
"10-01-2023 : 43",205250
"10-01-2023 : 44",204752
"10-01-2023 : 45",204953
"10-01-2023 : 46",204486
"10-01-2023 : 47",204630
"10-01-2023 : 48",204532
"10-01-2023 : 49",204096
"10-01-2023 : 50",202052
"10-01-2023 : 51",202618
"10-01-2023 : 52",202479
"10-01-2023 : 53",201714
"10-01-2023 : 54",198901
"10-01-2023 : 55",198052
"10-01-2023 : 56",197316
"10-01-2023 : 57",195984
"10-01-2023 : 58",194680
"10-01-2023 : 59",195158
"10-01-2023 : 60",195827
"10-01-2023 : 61",195178
"10-01-2023 : 62",193241
"10-01-2023 : 63",192995
"10-01-2023 : 64",192006
"10-01-2023 : 65",191342
"10-01-2023 : 66",189165
